,lead,title,dimensions,observation,year,url
0,miller-ricci kempton,Constraining High-speed Winds in Exoplanet Atmospheres through Observations of Anomalous Doppler Shifts during Transit,3,transit,2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...751..117M/abstract
0,cauley,The Effects of Stellar Activity on Optical High-resolution Exoplanet Transmission Spectra,1,transit,2018,https://iopscience.iop.org/article/10.3847/1538-3881/aaddf9/meta
0,kozakis,High-resolution Spectra of Earth-like Planets Orbiting Red Giant Host Stars,1,"reflection, emission",2020,https://www.aanda.org/articles/aa/abs/2009/20/aa10656-08/aa10656-08.html
0,dreizler,On the possibility of detecting extrasolar planets' atmospheres with the Rossiter-McLaughlin effect,1,transit,2008,https://www.aanda.org/articles/aa/abs/2009/20/aa10656-08/aa10656-08.html
0,damiano,A Principal Component Analysis-based method to analyse high-resolution spectroscopic data,1,transit,2019,https://arxiv.org/abs/1906.11218
0,rauscher,The Atmospheric Circulation and Observable Properties of Non-synchronously Rotating Hot Jupiters,3,transit,2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...790...79R/abstract
0,savel,No Umbrella Needed: Confronting the Hypothesis of Iron Rain on WASP-76b with Post-processed General Circulation Models,3,transit,2022,https://ui.adsabs.harvard.edu/abs/2022ApJ...926...85S/abstract
0,strachan,Diagnosing aerosols in extrasolar giant planets with cross-correlation function of water bands,1,reflected light,2020,https://academic.oup.com/mnras/article-abstract/493/2/1596/5729057
0,kempton,High Resolution Transmission Spectroscopy as a Diagnostic for Jovian Exoplanet Atmospheres: Constraints from Theoretical Models,3,transit,2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...795...24K/abstract
0,Y zhang,Search for He I airglow emission from the hot Jupiter τ Boo b,1,emission,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...641A.161Z/abstract
0,Quanz,Direct detection of exoplanets in the 3–10 μm range with E-ELT/METIS,1,transit,2014,https://www.cambridge.org/core/journals/international-journal-of-astrobiology/article/direct-detection-of-exoplanets-in-the-310-m-range-with-eeltmetis/FF4F11F8023EFB19D14A5F78F5808132
0,Kaltenegger,Finding Signs of Life on Transiting Earthlike Planets: High-resolution Transmission Spectra of Earth through Time around FGKM Host Stars,1,transit,2020,https://iopscience.iop.org/article/10.3847/1538-4357/abb9b2/meta
0,snellen,FINDING EXTRATERRESTRIAL LIFE USING GROUND-BASED HIGH-DISPERSION SPECTROSCOPY,1,transit,2013,https://iopscience.iop.org/article/10.1088/0004-637X/764/2/182/meta
0,Kaltenegger,Finding Signs of Life in Transits: High-resolution Transmission Spectra of Earth-line Planets around FGKM Host Stars,1,transit,2021,https://iopscience.iop.org/article/10.3847/2041-8213/abe634/meta
0,Kaltenegger,Diagnosing aerosols in extrasolar giant planets with cross-correlation function of water bands,1,transit,2020,https://iopscience.iop.org/article/10.3847/2041-8213/ab789f/meta
0,Pino,Diagnosing aerosols in extrasolar giant planets with cross-correlation function of water bands,1,transit,2018,https://www.aanda.org/articles/aa/pdf/2018/11/aa32986-18.pdf
